"probe_accuracy","probe_rt","probe_attribute","cue_dimensionality","probe_leftrightwin","cue_color","cue_direction","cue_size","cue_luminance","subj_idx"
1,0.72165,"1","2",2,1,1,1,1,"1117"
1,0.82361,"2","2",2,1,1,1,1,"1117"
1,1.6715,"2","2",1,1,1,1,1,"1117"
0,1.4884,"2","2",1,1,1,1,1,"1117"
0,0.92432,"2","2",1,1,1,1,1,"1117"
1,1.1923,"1","2",1,1,1,1,1,"1117"
1,1.2142,"2","2",1,1,1,1,1,"1117"
1,0.93956,"1","2",2,1,1,1,1,"1117"
1,0.61344,"2","1",1,1,1,1,1,"1117"
1,0.35636,"2","1",2,1,1,1,1,"1117"
1,0.55931,"2","1",2,1,1,1,1,"1117"
1,0.36126,"2","1",2,1,1,1,1,"1117"
1,0.53218,"2","1",1,1,1,1,1,"1117"
1,0.30308,"2","1",2,1,1,1,1,"1117"
1,0.37306,"2","1",1,1,1,1,1,"1117"
1,0.33796,"2","1",2,1,1,1,1,"1117"
1,1.2271,"4","3",2,1,1,1,1,"1117"
1,1.089,"1","3",1,1,1,1,1,"1117"
1,0.68574,"1","3",2,1,1,1,1,"1117"
1,1.5957,"3","3",1,1,1,1,1,"1117"
0,1.1926,"3","3",1,1,1,1,1,"1117"
1,1.5525,"4","3",2,1,1,1,1,"1117"
1,1.2944,"4","3",1,1,1,1,1,"1117"
1,0.64042,"4","3",2,1,1,1,1,"1117"
0,1.1713,"2","4",1,1,1,1,1,"1117"
1,1.0842,"2","4",1,1,1,1,1,"1117"
1,1.2052,"2","4",1,1,1,1,1,"1117"
0,0.976,"3","4",1,1,1,1,1,"1117"
1,0.94196,"4","4",2,1,1,1,1,"1117"
1,0.62813,"1","4",2,1,1,1,1,"1117"
1,1.0548,"1","4",1,1,1,1,1,"1117"
0,0.51561,"1","3",1,1,1,1,1,"1117"
1,1.2296,"2","3",1,1,1,1,1,"1117"
1,0.83454,"1","3",2,1,1,1,1,"1117"
1,0.82348,"1","3",1,1,1,1,1,"1117"
1,0.70839,"1","3",1,1,1,1,1,"1117"
1,0.79539,"1","3",2,1,1,1,1,"1117"
1,1.2483,"2","3",1,1,1,1,1,"1117"
1,0.63018,"4","3",2,1,1,1,1,"1117"
0,0.89816,"4","4",1,1,1,1,1,"1117"
